# Region type : patch inlet
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000119048   	1.540370e+04	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000183629   	-6.226472e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000244981   	7.819388e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00031567    	-1.580721e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000396373   	1.051941e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000486973   	-5.328363e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00058711    	-1.963498e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000691698   	-3.184612e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00079869    	-2.062468e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000908229   	-2.050024e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0010191     	-1.588119e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00113424    	-1.416463e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0012509     	-1.213095e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00137075    	-1.072337e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00149581    	-9.325009e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00162274    	-7.902656e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00175363    	-6.231812e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00188664    	-4.740431e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00202186    	-3.016359e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00215942    	-1.576799e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00229943    	-2.576193e-03	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00244203    	1.316283e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
